,red,date,class,id,class_name
9,0.033,2022-04-05,0,346,Картофель
10,0.08600000000000001,2022-05-10,0,346,Картофель
11,0.192,2022-06-14,0,346,Картофель
12,0.092,2022-08-03,0,346,Картофель
13,0.084,2022-09-02,0,346,Картофель
61,0.032,2022-04-05,0,349,Картофель
62,0.145,2022-05-10,0,349,Картофель
63,0.154,2022-06-14,0,349,Картофель
64,0.113,2022-08-03,0,349,Картофель
65,0.081,2022-09-02,0,349,Картофель
108,0.032,2022-04-05,0,347,Картофель
109,0.13,2022-05-10,0,347,Картофель
110,0.223,2022-06-14,0,347,Картофель
111,0.132,2022-08-03,0,347,Картофель
112,0.113,2022-09-02,0,347,Картофель
163,0.033,2022-04-05,0,348,Картофель
164,0.14,2022-05-10,0,348,Картофель
165,0.213,2022-06-14,0,348,Картофель
166,0.152,2022-08-03,0,348,Картофель
167,0.107,2022-09-02,0,348,Картофель
218,0.153,2022-04-05,0,343,Картофель
219,0.124,2022-05-10,0,343,Картофель
220,0.316,2022-06-14,0,343,Картофель
221,0.4,2022-08-03,0,343,Картофель
222,0.376,2022-09-02,0,343,Картофель
273,0.026000000000000002,2022-04-05,1,342,Соя
274,0.047,2022-05-10,1,342,Соя
275,0.091,2022-06-14,1,342,Соя
276,0.153,2022-08-03,1,342,Соя
277,0.153,2022-09-02,1,342,Соя
328,0.063,2022-04-05,3,303,Кукуруза
329,0.112,2022-05-10,3,303,Кукуруза
330,0.41300000000000003,2022-06-14,3,303,Кукуруза
331,0.535,2022-08-03,3,303,Кукуруза
332,0.343,2022-09-02,3,303,Кукуруза
383,0.007,2022-04-05,3,285,Кукуруза
384,0.013000000000000001,2022-05-10,3,285,Кукуруза
385,0.024,2022-06-14,3,285,Кукуруза
386,0.035,2022-08-03,3,285,Кукуруза
387,0.025,2022-09-02,3,285,Кукуруза
438,0.004,2022-04-05,4,287,Пшеница
439,0.019,2022-05-10,4,287,Пшеница
440,0.02,2022-06-14,4,287,Пшеница
441,0.009000000000000001,2022-08-03,4,287,Пшеница
442,0.011,2022-09-02,4,287,Пшеница
493,0.074,2022-04-05,5,284,Свекла
494,0.14100000000000001,2022-05-10,5,284,Свекла
495,0.372,2022-06-14,5,284,Свекла
496,0.465,2022-08-03,5,284,Свекла
497,0.419,2022-09-02,5,284,Свекла
545,0.006,2022-04-05,4,286,Пшеница
546,0.023,2022-05-10,4,286,Пшеница
547,0.021,2022-06-14,4,286,Пшеница
548,0.01,2022-08-03,4,286,Пшеница
549,0.012,2022-09-02,4,286,Пшеница
592,0.026000000000000002,2022-04-05,3,288,Кукуруза
593,0.066,2022-05-10,3,288,Кукуруза
594,0.1,2022-06-14,3,288,Кукуруза
595,0.162,2022-08-03,3,288,Кукуруза
596,0.106,2022-09-02,3,288,Кукуруза
647,0.069,2022-04-05,5,289,Свекла
648,0.17300000000000001,2022-05-10,5,289,Свекла
649,0.229,2022-06-14,5,289,Свекла
650,0.40800000000000003,2022-08-03,5,289,Свекла
651,0.37,2022-09-02,5,289,Свекла
702,0.031,2022-04-05,3,290,Кукуруза
703,0.055,2022-05-10,3,290,Кукуруза
704,0.14300000000000002,2022-06-14,3,290,Кукуруза
705,0.17300000000000001,2022-08-03,3,290,Кукуруза
706,0.097,2022-09-02,3,290,Кукуруза
757,0.011,2022-04-05,3,291,Кукуруза
758,0.022,2022-05-10,3,291,Кукуруза
759,0.037,2022-06-14,3,291,Кукуруза
760,0.058,2022-08-03,3,291,Кукуруза
761,0.029,2022-09-02,3,291,Кукуруза
812,0.039,2022-04-05,2,300,Ячмень
813,0.132,2022-05-10,2,300,Ячмень
814,0.147,2022-06-14,2,300,Ячмень
815,0.061,2022-08-03,2,300,Ячмень
816,0.069,2022-09-02,2,300,Ячмень
867,0.019,2022-04-05,2,294,Ячмень
868,0.054,2022-05-10,2,294,Ячмень
869,0.064,2022-06-14,2,294,Ячмень
870,0.037,2022-08-03,2,294,Ячмень
871,0.034,2022-09-02,2,294,Ячмень
922,0.053,2022-04-05,5,302,Свекла
923,0.098,2022-05-10,5,302,Свекла
924,0.386,2022-06-14,5,302,Свекла
925,0.42,2022-08-03,5,302,Свекла
926,0.405,2022-09-02,5,302,Свекла
977,0.051000000000000004,2022-04-05,1,305,Соя
978,0.136,2022-05-10,1,305,Соя
979,0.332,2022-06-14,1,305,Соя
980,0.441,2022-08-03,1,305,Соя
981,0.41300000000000003,2022-09-02,1,305,Соя
1032,0.08700000000000001,2022-04-05,4,304,Пшеница
1033,0.48,2022-05-10,4,304,Пшеница
1034,0.498,2022-06-14,4,304,Пшеница
1035,0.11900000000000001,2022-08-03,4,304,Пшеница
1036,0.114,2022-09-02,4,304,Пшеница
1087,0.04,2022-04-05,3,292,Кукуруза
1088,0.077,2022-05-10,3,292,Кукуруза
1089,0.045,2022-06-14,3,292,Кукуруза
1090,0.068,2022-08-03,3,292,Кукуруза
1091,0.079,2022-09-02,3,292,Кукуруза
1142,0.032,2022-04-05,3,293,Кукуруза
1143,0.084,2022-05-10,3,293,Кукуруза
1144,0.134,2022-06-14,3,293,Кукуруза
1145,0.19,2022-08-03,3,293,Кукуруза
1146,0.14100000000000001,2022-09-02,3,293,Кукуруза
1197,0.01,2022-04-05,5,295,Свекла
1198,0.034,2022-05-10,5,295,Свекла
1199,0.046,2022-06-14,5,295,Свекла
1200,0.021,2022-08-03,5,295,Свекла
