iter	MultiClass
0	1.592504657
1	1.578754001
2	1.562784266
3	1.549981689
4	1.538354492
5	1.524367947
6	1.510018356
7	1.498669773
8	1.485292788
9	1.474689399
10	1.464910211
11	1.453373888
12	1.443213908
13	1.433036748
14	1.422483317
15	1.409873002
16	1.399935574
17	1.38823683
18	1.377417218
19	1.366428064
20	1.356309001
21	1.347384757
22	1.337766859
23	1.328513138
24	1.319721137
25	1.312336448
26	1.303511217
27	1.295199472
28	1.287805289
29	1.280451909
30	1.273225911
31	1.265304678
32	1.256859673
33	1.24804371
34	1.240273935
35	1.232007966
36	1.224404681
37	1.217235876
38	1.211506257
39	1.204140896
40	1.196118955
41	1.188346806
42	1.180522777
43	1.172941081
44	1.16420322
45	1.1564105
46	1.148339392
47	1.142579029
48	1.135086851
49	1.128180497
50	1.121174452
51	1.114397176
52	1.108526159
53	1.101237431
54	1.094778555
55	1.087594944
56	1.081482838
57	1.074161332
58	1.068748983
59	1.063057454
60	1.057453862
61	1.052398795
62	1.045675094
63	1.040519658
64	1.033524464
65	1.027839717
66	1.021731002
67	1.016725893
68	1.011226174
69	1.006050392
70	1.000285509
71	0.9956850405
72	0.9906218352
73	0.9845685041
74	0.9797714799
75	0.9745574951
76	0.9697535762
77	0.9645919235
78	0.959773763
79	0.9548059534
80	0.950124783
81	0.9447940968
82	0.9415728534
83	0.9365928367
84	0.9317642777
85	0.9266180533
86	0.9210792824
87	0.9163568002
88	0.9127081977
89	0.9084311026
90	0.9031488489
91	0.8983765779
92	0.893528578
93	0.8887407091
94	0.8848197654
95	0.8804866084
96	0.8759949296
97	0.8705991392
98	0.8656764278
99	0.8613835653
100	0.8575216223
101	0.8541585852
102	0.8494223135
103	0.8456860578
104	0.8409320973
105	0.8358314797
106	0.8318596734
107	0.827351662
108	0.8233234547
109	0.8196697094
110	0.816359739
111	0.8128504435
112	0.809395232
113	0.8049750434
114	0.8008520056
115	0.796955476
116	0.7937386407
117	0.7896995262
118	0.7860976608
119	0.7831073902
120	0.779262571
121	0.7761369493
122	0.7729231658
123	0.7687091969
124	0.7657488788
125	0.7626079418
126	0.7590714066
127	0.7557703089
128	0.7528825548
129	0.7499778465
130	0.7454140557
131	0.7421903257
132	0.7394094397
133	0.7359467683
134	0.7333501745
135	0.7306648537
136	0.7271833632
137	0.7232102006
138	0.7192685728
139	0.7165331805
140	0.7138921667
141	0.7107801084
142	0.7072538023
143	0.704703776
144	0.7015934697
145	0.6987006293
146	0.6951427318
147	0.6922735144
148	0.6889404297
149	0.6862814444
150	0.6845177544
151	0.6820496171
152	0.6783484565
153	0.675366437
154	0.6724030671
155	0.6704831724
156	0.6674843117
157	0.6641622473
158	0.6615271674
159	0.6587673611
160	0.6563347145
161	0.6539129187
162	0.6510735406
163	0.6484157986
164	0.6456148501
165	0.6431367097
166	0.6404732598
167	0.6382885968
168	0.6350646973
169	0.6321746826
170	0.629578654
171	0.6277595803
172	0.6258439241
173	0.6237566913
174	0.6210934109
175	0.6181885896
176	0.6160546197
177	0.6136374014
178	0.6108582673
179	0.6067742242
180	0.6045462714
181	0.6024481879
182	0.5997838903
183	0.5976209852
184	0.5956961738
185	0.5932622839
186	0.5908388491
187	0.5882262053
188	0.5862548263
189	0.5832576045
190	0.5805042408
191	0.5793778596
192	0.5775688454
193	0.5749474419
194	0.5725609673
195	0.5706917092
196	0.5688210381
197	0.5667200159
198	0.5644742047
199	0.56229881
200	0.5605973985
201	0.5583939164
202	0.5561225609
203	0.5532831263
204	0.5512153343
205	0.5497239855
206	0.5472630254
207	0.5450212267
208	0.5424205074
209	0.5404716209
210	0.5381552237
211	0.5357945195
212	0.5339909306
213	0.5317430284
214	0.5297538475
215	0.5275030065
216	0.5255024098
217	0.5235013043
218	0.5211585151
219	0.51867964
220	0.5168545193
221	0.5158004196
222	0.514187396
223	0.512495818
224	0.5105343854
225	0.5087049131
226	0.5067544443
227	0.5052689164
228	0.5037914135
229	0.5016741717
230	0.4997802169
231	0.4977791115
232	0.4960053621
233	0.4943806966
234	0.4926822238
235	0.4908793697
236	0.4891677856
237	0.4875953957
238	0.4859146118
239	0.4836420695
240	0.4817909523
241	0.4802121763
242	0.4781165794
243	0.476864398
244	0.4755117911
245	0.4740294845
246	0.4722278736
247	0.4704712479
248	0.4689060918
