iter	Passed	Remaining
0	38	38396
1	111	55455
2	148	49281
3	221	55084
4	256	50991
5	331	54910
6	365	51863
7	394	48874
8	474	52271
9	483	47838
10	554	49856
11	590	48629
12	664	50414
13	699	49264
14	775	50936
15	778	47894
16	781	45206
17	784	42796
18	787	40638
19	789	38698
20	793	36983
21	795	35383
22	798	33917
23	801	32580
24	803	31340
25	806	30204
26	810	29190
27	812	28217
28	815	27307
29	818	26458
30	820	25661
31	824	24940
32	827	24244
33	830	23585
34	832	22966
35	836	22387
36	839	21836
37	842	21330
38	845	20828
39	847	20347
40	850	19889
41	852	19456
42	856	19070
43	859	18679
44	862	18296
45	864	17934
46	867	17590
47	870	17256
48	873	16957
49	876	16650
50	879	16358
51	881	16072
52	883	15795
53	886	15528
54	890	15292
55	892	15050
56	895	14819
57	898	14589
58	900	14367
59	903	14152
60	906	13955
61	912	13799
62	914	13605
63	917	13417
64	920	13235
65	923	13071
66	926	12897
67	928	12728
68	931	12564
69	933	12406
70	936	12251
71	939	12115
72	942	11966
73	944	11822
74	947	11682
75	949	11546
76	952	11413
77	955	11294
78	958	11169
79	960	11049
80	963	10929
81	965	10811
82	968	10694
83	970	10579
84	973	10479
85	976	10374
86	978	10268
87	981	10166
88	983	10066
89	985	9966
90	989	9882
91	991	9789
92	994	9698
93	996	9608
94	999	9520
95	1001	9433
96	1005	9357
97	1007	9277
98	1010	9198
99	1013	9119
100	1015	9041
101	1018	8965
102	1022	8900
103	1024	8825
104	1026	8753
105	1029	8682
106	1031	8610
107	1034	8540
108	1037	8479
109	1039	8413
110	1042	8347
111	1044	8282
112	1046	8217
113	1049	8156
114	1051	8094
115	1055	8042
116	1057	7983
117	1060	7926
118	1062	7868
119	1065	7814
120	1068	7760
121	1072	7715
122	1074	7663
123	1078	7621
124	1081	7571
125	1084	7522
126	1087	7478
127	1090	7429
128	1092	7379
129	1095	7329
130	1097	7281
131	1100	7233
132	1103	7193
133	1106	7147
134	1108	7103
135	1110	7057
136	1113	7013
137	1115	6969
138	1119	6933
139	1121	6891
140	1124	6850
141	1126	6808
142	1129	6767
143	1131	6727
144	1135	6694
145	1138	6656
146	1140	6619
147	1143	6582
148	1146	6545
149	1148	6507
150	1150	6469
151	1154	6438
152	1156	6403
153	1159	6368
154	1161	6334
155	1164	6299
156	1166	6265
157	1170	6237
158	1173	6205
159	1175	6172
160	1178	6139
161	1180	6106
162	1182	6074
163	1186	6048
164	1188	6016
165	1191	5985
166	1193	5953
167	1196	5923
168	1198	5894
169	1202	5870
170	1205	5842
171	1207	5813
172	1210	5784
173	1212	5755
174	1214	5727
175	1218	5704
176	1220	5676
177	1223	5648
178	1225	5621
179	1227	5594
180	1230	5567
181	1233	5544
182	1236	5519
183	1238	5493
184	1241	5467
185	1243	5442
186	1246	5417
187	1248	5392
188	1251	5372
189	1254	5347
190	1256	5323
191	1259	5300
192	1261	5276
193	1264	5254
194	1268	5234
195	1270	5212
196	1272	5188
197	1275	5166
198	1277	5143
199	1280	5120
200	1283	5102
201	1285	5079
202	1288	5057
203	1290	5036
204	1293	5015
205	1295	4994
206	1298	4973
207	1301	4956
208	1304	4936
209	1306	4916
210	1309	4895
211	1311	4876
212	1314	4856
213	1317	4840
214	1320	4820
215	1322	4800
216	1325	4781
217	1328	4764
218	1330	4745
219	1334	4729
220	1336	4711
221	1339	4692
222	1341	4674
223	1343	4655
224	1346	4637
225	1349	4623
226	1352	4604
227	1354	4587
228	1357	4569
229	1359	4553
230	1362	4535
231	1365	4521
232	1368	4503
233	1370	4487
234	1372	4469
235	1375	4452
236	1377	4435
237	1380	4418
238	1383	4405
239	1386	4389
240	1388	4372
241	1390	4356
242	1393	4340
243	1395	4323
244	1398	4310
245	1401	4294
246	1403	4279
247	1406	4263
248	1408	4247
249	1410	4232
250	1413	4216
251	1416	4204
252	1419	4189
253	1421	4174
254	1423	4159
255	1425	4144
256	1428	4129
257	1431	4117
258	1434	4103
259	1436	4089
260	1439	4074
261	1441	4059
262	1443	4045
263	1446	4031
264	1449	4019
265	1451	4006
266	1454	3992
267	1456	3978
268	1458	3964
269	1461	3950
270	1464	3938
271	1466	3924
272	1468	3911
273	1471	3898
274	1473	3884
275	1475	3871
276	1478	3857
277	1481	3846
278	1483	3834
279	1486	3821
280	1488	3809
281	1491	3796
282	1493	3784
283	1496	3772
284	1499	3761
285	1501	3748
286	1504	3736
287	1506	3724
288	1509	3712
289	1511	3700
290	1515	3691
291	1517	3679
292	1519	3667
293	1522	3655
294	1524	3644
295	1527	3632
296	1530	3622
297	1532	3611
298	1535	3600
299	1538	3588
300	1540	3577
301	1542	3565
302	1545	3554
303	1548	3545
304	1550	3533
305	1553	3522
306	1555	3511
307	1558	3500
308	1560	3489
309	1563	3481
310	1566	3470
311	1568	3459
312	1571	3448
313	1573	3437
314	1575	3426
315	1578	3416
316	1581	3407
317	1584	3398
318	1586	3387
319	1589	3377
320	1591	3366
321	1594	3356
322	1597	3347
323	1599	3337
324	1601	3327
325	1604	3317
326	1606	3306
327	1608	3296
328	1611	3285
329	1614	3277
330	1616	3267
331	1619	3258
332	1621	3248
