index_month_4,index_month_5,index_month_6,index_month_7,index_month_8,elevation,culture_name
-0.047,-0.298,-0.293,0.148,0.105,724,0
0.016,0.27,0.298,0.26,0.757,729,1
-0.034,-0.258,-0.017,0.131,-0.08600000000000001,626,2
0.068,-0.186,-0.112,0.28600000000000003,0.12,619,1
0.11,0.439,-0.30000000000000004,-0.02,0.211,966,2
-0.08600000000000001,-0.157,0.34900000000000003,0.34400000000000003,0.46900000000000003,953,3
-0.074,-0.083,0.039,-0.374,0.658,667,4
0.07100000000000001,-0.093,0.166,-0.234,-0.234,653,4
-0.073,0.54,-0.049,0.117,-0.132,590,2
0.082,0.075,-0.159,0.171,-0.084,722,2
-0.049,0.21,0.044,-0.057,0.084,716,0
0.10400000000000001,0.179,0.136,-0.184,-0.122,728,0
-0.038,0.289,0.275,0.21,0.162,645,0
0.094,0.292,0.295,0.253,-0.066,649,0
-0.026000000000000002,0.041,-0.133,0.081,-0.08600000000000001,719,0
0.083,0.301,0.253,0.218,-0.181,742,0
0.08700000000000001,-0.247,0.30000000000000004,0.268,-0.079,649,3
0.032,-0.057,0.148,0.06,0.08,651,3
0.123,0.161,-0.202,0.21,0.359,652,3
0.131,0.34800000000000003,-0.018000000000000002,0.146,0.046,773,2
-0.039,0.115,0.259,0.132,-0.03,918,2
0.08700000000000001,0.059000000000000004,0.002,0.1,-0.058,791,2
0.019,-0.047,0.096,0.191,0.101,826,3
0.059000000000000004,-0.09,0.18,0.14,0.13,692,3
0.032,-0.048,0.11,0.159,0.218,680,3
-0.023,-0.082,0.199,0.329,-0.187,666,4
0.029,0.006,0.082,-0.027,-0.021,696,4
-0.02,-0.115,0.26,0.064,0.042,746,0
0.123,0.267,-0.178,0.357,0.181,813,1
-0.025,0.037,0.07100000000000001,0.069,-0.095,658,4
0.049,-0.045,0.096,-0.186,-0.07200000000000001,1063,4
-0.058,0.047,-0.043000000000000003,-0.02,0.23500000000000001,587,4
0.029,-0.064,-0.047,0.16,0.027,588,4
0.019,0.02,-0.053,0.034,-0.084,722,4
-0.10400000000000001,-0.145,0.225,-0.322,0.146,696,3
-0.14300000000000002,0.194,0.41600000000000004,0.188,0.5750000000000001,707,1
-0.138,-0.357,0.176,0.147,0.094,730,0
0.029,0.054,0.047,0.057,0.049,677,4
0.026000000000000002,0.037,-0.08,0.054,0.052000000000000005,687,4
-0.011,0.075,0.126,0.25,0.179,708,4
-0.145,0.6880000000000001,-0.03,-0.42,0.359,667,1
0.096,-0.062,0.152,0.465,0.10300000000000001,671,3
0.219,0.616,0.0,0.271,0.211,654,2
-0.03,0.40800000000000003,0.041,0.19,-0.2,669,2
-0.115,0.396,0.295,-0.217,0.184,711,1
-0.041,-0.115,-0.224,0.07200000000000001,0.389,709,4
0.14,0.658,0.331,-0.129,0.191,664,0
0.125,0.47300000000000003,-0.219,-0.201,-0.109,658,2
0.111,0.12,-0.153,0.306,0.138,655,3
-0.125,-0.111,0.25,0.356,-0.339,654,3
-0.10400000000000001,-0.14100000000000001,0.20500000000000002,0.125,0.49,703,3
0.001,-0.20400000000000001,-0.137,-0.113,0.053,618,2
0.051000000000000004,0.047,0.127,-0.031,-0.058,622,2
0.074,0.041,0.117,0.10400000000000001,-0.074,625,2
-0.07200000000000001,0.543,0.41500000000000004,-0.2,-0.131,704,0
0.248,-0.341,0.0,0.266,-0.165,704,2
0.023,0.31,-0.156,-0.055,0.11800000000000001,698,2
-0.095,0.6970000000000001,0.5720000000000001,-0.252,-0.155,695,0
-0.051000000000000004,-0.117,-0.153,0.114,-0.221,697,3
-0.076,0.096,-0.127,0.335,0.221,697,1
0.147,-0.036000000000000004,0.12,-0.183,-0.181,700,3
0.075,0.122,0.075,-0.009000000000000001,-0.077,700,2
0.132,0.216,0.115,-0.129,-0.128,696,2
-0.033,0.306,0.16,-0.1,-0.062,576,2
-0.075,0.305,0.152,0.133,0.067,576,0
-0.031,-0.115,0.032,0.07,0.057,586,0
-0.033,0.079,0.147,0.156,0.186,586,3
0.017,-0.23700000000000002,-0.048,0.129,-0.129,584,2
-0.161,0.334,-0.068,0.091,0.08600000000000001,595,2
0.082,-0.435,0.26,0.161,0.34600000000000003,595,1
-0.02,0.181,0.23900000000000002,-0.101,0.095,593,0
0.017,0.441,0.253,0.17500000000000002,0.041,599,1
-0.052000000000000005,-0.14400000000000002,0.274,-0.133,0.068,600,0
0.121,0.274,-0.05,0.061,0.085,599,2
-0.008,0.125,-0.048,-0.044,0.045,596,2
0.053,-0.123,-0.063,0.058,-0.055,594,2
0.057,-0.059000000000000004,0.192,0.247,-0.222,769,4
-0.14300000000000002,0.402,0.379,0.182,0.15,690,2
0.025,0.07200000000000001,0.137,-0.064,0.047,682,0
