index_month_4,index_month_5,index_month_6,index_month_7,index_month_8,elevation,culture_name
-0.047,-0.298,-0.293,0.148,0.105,724,0
0.016,0.27,0.298,0.26,0.757,729,1
-0.034,-0.258,-0.017,0.131,-0.086,626,2
0.068,-0.186,-0.112,0.286,0.12,619,1
0.11,0.439,-0.3,-0.02,0.211,966,2
-0.086,-0.157,0.349,0.344,0.469,953,3
0.071,-0.093,0.166,-0.234,-0.234,653,4
-0.073,0.54,-0.049,0.117,-0.132,590,2
0.082,0.075,-0.159,0.171,-0.084,722,2
-0.049,0.21,0.044,-0.057,0.084,716,0
0.104,0.179,0.136,-0.184,-0.122,728,0
-0.038,0.289,0.275,0.21,0.162,645,0
0.094,0.292,0.295,0.253,-0.066,649,0
-0.026,0.041,-0.133,0.081,-0.086,719,0
0.083,0.301,0.253,0.218,-0.181,742,0
0.087,-0.247,0.3,0.268,-0.079,649,3
0.032,-0.057,0.148,0.06,0.08,651,3
0.123,0.161,-0.202,0.21,0.359,652,3
0.131,0.348,-0.018,0.146,0.046,773,2
-0.039,0.115,0.259,0.132,-0.03,918,2
0.087,0.059,0.002,0.1,-0.058,791,2
0.019,-0.047,0.096,0.191,0.101,826,3
0.059,-0.09,0.18,0.14,0.13,692,3
0.032,-0.048,0.11,0.159,0.218,680,3
-0.023,-0.082,0.199,0.329,-0.187,666,4
0.029,0.006,0.082,-0.027,-0.021,696,4
-0.02,-0.115,0.26,0.064,0.042,746,0
0.123,0.267,-0.178,0.357,0.181,813,1
-0.025,0.037,0.071,0.069,-0.095,658,4
0.049,-0.045,0.096,-0.186,-0.072,1063,4
-0.058,0.047,-0.043,-0.02,0.235,587,4
0.029,-0.064,-0.047,0.16,0.027,588,4
0.019,0.02,-0.053,0.034,-0.084,722,4
-0.104,-0.145,0.225,-0.322,0.146,696,3
-0.143,0.194,0.416,0.188,0.5750000000000001,707,1
-0.138,-0.357,0.176,0.147,0.094,730,0
0.029,0.054,0.047,0.057,0.049,677,4
0.026,0.037,-0.08,0.054,0.052,687,4
-0.011,0.075,0.126,0.25,0.179,708,4
0.096,-0.062,0.152,0.465,0.103,671,3
0.219,0.616,0.0,0.271,0.211,654,2
-0.03,0.408,0.041,0.19,-0.2,669,2
-0.115,0.396,0.295,-0.217,0.184,711,1
-0.041,-0.115,-0.224,0.072,0.389,709,4
0.125,0.473,-0.219,-0.201,-0.109,658,2
0.111,0.12,-0.153,0.306,0.138,655,3
-0.125,-0.111,0.25,0.356,-0.339,654,3
-0.104,-0.141,0.205,0.125,0.49,703,3
0.001,-0.204,-0.137,-0.113,0.053,618,2
0.051,0.047,0.127,-0.031,-0.058,622,2
0.074,0.041,0.117,0.104,-0.074,625,2
-0.072,0.543,0.415,-0.2,-0.131,704,0
0.023,0.31,-0.156,-0.055,0.118,698,2
-0.051,-0.117,-0.153,0.114,-0.221,697,3
-0.076,0.096,-0.127,0.335,0.221,697,1
0.147,-0.036,0.12,-0.183,-0.181,700,3
0.075,0.122,0.075,-0.009,-0.077,700,2
0.132,0.216,0.115,-0.129,-0.128,696,2
-0.033,0.306,0.16,-0.1,-0.062,576,2
-0.075,0.305,0.152,0.133,0.067,576,0
-0.031,-0.115,0.032,0.07,0.057,586,0
-0.033,0.079,0.147,0.156,0.186,586,3
0.017,-0.237,-0.048,0.129,-0.129,584,2
-0.161,0.334,-0.068,0.091,0.086,595,2
0.082,-0.435,0.26,0.161,0.346,595,1
-0.02,0.181,0.239,-0.101,0.095,593,0
0.017,0.441,0.253,0.175,0.041,599,1
-0.052,-0.144,0.274,-0.133,0.068,600,0
0.121,0.274,-0.05,0.061,0.085,599,2
-0.008,0.125,-0.048,-0.044,0.045,596,2
0.053,-0.123,-0.063,0.058,-0.055,594,2
0.057,-0.059,0.192,0.247,-0.222,769,4
-0.143,0.402,0.379,0.182,0.15,690,2
0.025,0.072,0.137,-0.064,0.047,682,0
-0.054,-0.041,0.07,-0.248,0.4,683,3
-0.028,-0.023,0.012,-0.083,0.153,686,4
-0.02,0.065,-0.092,0.054,0.14,687,4
-0.018,-0.008,-0.053,0.082,0.035,687,3
-0.022,0.052,0.031,0.09,0.151,687,4
0.065,0.1708,0.289,0.44,-0.323,656,3
-0.051,0.205,0.474,0.223,0.094,654,0
-0.04,0.1134,0.146,-0.173,0.314,728,4
0.168,0.0732,-0.043,-0.151,-0.116,750,2
-0.016,0.1618,0.273,0.321,0.241,752,1
0.211,0.1538,0.196,0.042,0.464,757,1
0.116,0.0442,0.296,0.182,0.078,638,0
-0.017,0.1926,0.039,0.007,0.027,715,1
-0.014,0.066,0.019,0.027,0.026,706,0
0.054,0.0854,-0.075,-0.091,-0.029,705,1
