,ndvi_4_month,ndvi_5_month,ndvi_6_month,ndvi_7_month,ndvi_8_month,elevation_contour,class,soil_name_Аллювиальные луговые тугайных лесов и кустарников,soil_name_Горно-долинные каштановые и темно-каштановые,"soil_name_Горно-долинные светло-каштановые, местами в сочетании с лугово-светло-каштановыми слабозасоленными",soil_name_Горные светло-каштановые,soil_name_Комплекс лугово-сероземных и сероземно-луговых солончаковатых (25-30%) и солонцеватых (25-30%),"soil_name_Комплекс сероземно-луговых и луговых (сазовых) солончаковатых (15-30%) и солонцеватых (15-30%), местами вторично засоленных",soil_name_Лугово-сероземные в сочетании с сероземами северными (малокарбонатными) обыкновенными,soil_name_Луговые и лугово-болотные,"soil_name_Сероземно-луговые, местами солончаковатые",soil_name_Сероземы северные (малокарбонатные) обыкновенные,soil_name_Сероземы северные (малокарбонатные) светлые вторично засоленные и заболоченные,"soil_name_Сероземы северные (малокарбонатные) светлые, местами слабо- и среднесолончаковатые",district_name_Chui district,district_name_Kemin district,district_name_Moskva district,district_name_Panfilov district,district_name_Sokuluk district,district_name_Yssyk-Ata district,district_name_Zhayil district
1,-0.0034999999999999996,0.028749999999999998,0.08625,0.07825,0.11675,660,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4,-0.007750000000000003,0.15150000000000002,0.09875,0.0017500000000000016,-0.013999999999999999,660,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,0.0,0.008500000000000004,0.061,-0.009750000000000002,-0.02525,707,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
9,-0.01475,0.032249999999999994,0.09875,-0.012249999999999997,-0.042,709,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
11,0.0072499999999999995,0.17225000000000001,0.1755,0.023249999999999996,-0.019499999999999997,656,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
14,0.12925,0.294,0.19799999999999998,0.19675,0.046,715,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
17,0.009500000000000001,0.144,0.097,-0.015500000000000007,-0.01725000000000001,654,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
20,0.008999999999999998,0.07875,0.094,-0.00025000000000000716,-0.023500000000000007,709,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
23,0.03225,0.14225000000000002,0.05375,0.0455,0.030000000000000006,676,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
26,0.006750000000000001,0.0495,0.015250000000000003,0.013500000000000002,0.011,705,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
29,0.0007500000000000007,0.0055,0.016749999999999998,0.0525,0.11125000000000002,672,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
32,0.016249999999999997,0.19625,0.07574999999999998,0.034,0.0985,685,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
35,-0.0067500000000000025,0.014999999999999996,0.08549999999999999,0.09725,0.31625000000000003,685,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
38,0.012750000000000008,0.10075,0.14975,0.028500000000000004,-0.012000000000000004,692,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
41,0.005750000000000001,0.004750000000000001,0.0755,0.0995,0.17325000000000002,728,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
43,-0.0010000000000000009,0.059,0.116,0.04000000000000001,-0.009000000000000008,663,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
45,-0.002749999999999999,0.005250000000000001,0.073,0.074,0.10450000000000001,707,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
47,-0.005500000000000001,-0.005250000000000001,0.009750000000000002,0.10700000000000001,0.37375,685,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
48,-0.018250000000000002,-0.01125,0.018,0.07675,0.34125,685,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
50,0.0,0.002,0.00425,0.0165,0.04375,720,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
53,0.017,0.043,0.0345,0.01975,0.0015000000000000013,735,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
56,-0.0015000000000000005,0.0022500000000000003,0.0165,0.024,0.06575,720,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
59,-0.002749999999999999,0.0017500000000000007,0.009750000000000002,0.023250000000000003,0.0685,721,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
61,-0.021,0.011249999999999996,0.027,-0.019000000000000003,-0.028749999999999994,613,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
63,-0.0035000000000000014,0.014750000000000001,0.035500000000000004,0.0075,-0.005249999999999998,665,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
65,0.0007500000000000002,0.007500000000000001,0.01225,0.0007499999999999998,0.0,742,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
68,-0.008250000000000004,0.037500000000000006,0.057,-0.006499999999999995,-0.03425,683,6,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
71,0.03125,0.11025000000000001,0.088,0.05475,0.1085,670,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
73,0.0065,0.04750000000000001,0.022000000000000002,-0.01075,-0.02,708,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
76,0.039,0.12225,0.018,0.0017499999999999998,0.01500000000000001,658,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
78,-0.0002500000000000002,0.0055,0.021250000000000005,0.025500000000000002,0.0485,751,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
81,-0.0004999999999999998,0.002,0.008,0.012,0.024750000000000005,751,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
84,0.005,0.020999999999999998,0.0055,0.0105,0.0024999999999999996,715,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
87,-0.013,0.049,-0.00425,-0.03325,-0.04674999999999999,610,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
90,0.0,0.03225,0.016999999999999998,-0.00625,-0.0052499999999999995,706,5,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
93,-0.0024999999999999953,0.10475000000000001,0.151,-0.024,-0.03225,752,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
96,0.011750000000000002,0.09250000000000001,0.03975,-0.0335,-0.039,750,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
99,0.010250000000000002,0.1275,0.0675,0.056999999999999995,0.002250000000000002,757,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
102,0.0,0.0075,0.0085,-0.0005000000000000004,-0.0025,766,4,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
105,-0.0002500000000000002,0.061000000000000006,0.026249999999999996,-0.0285,-0.03200000000000001,638,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
108,-0.002749999999999999,0.009500000000000001,0.046250000000000006,0.019249999999999996,-0.0027499999999999955,682,5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
110,-0.0005000000000000004,-0.010249999999999999,-0.006500000000000006,-0.019000000000000003,-0.028250000000000004,605,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
113,-0.002999999999999999,0.02625,0.0014999999999999996,-0.0175,-0.01975,621,5,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
