red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,productivity
,,,,,52,1288,20,56,1.6
,,,,,56,1365,20,56,1.6
,,,,,69,1492,20,59,1.7
,0.23500000000000001,0.11800000000000001,0.092,0.127,73,1147,20,57,1.717
,,,,,74,1147,20,57,1.717
,0.148,,0.1,0.085,75,1147,20,57,1.717
,,,,,86,1212,20,57,1.6
,,,,,97,1447,20,59,1.7
,,,,,149,1347,20,59,1.7
,,,,,161,1377,20,56,1.7
,,,,,193,1397,20,56,1.7
,,,,,198,1377,20,56,1.7
,,,,,203,1439,20,56,4.2
,,,,,204,1420,20,56,4.2
0.037,,,,,345,1823,20,15,2.4
0.036000000000000004,,,,,412,1827,20,15,2.4
0.036000000000000004,,0.105,,0.032,413,1827,20,15,2.4
,,,,,414,1827,20,15,2.4
,,,,,479,1002,20,57,1.1
,,,,,513,926,20,57,1.1
,,,,,530,886,20,57,1.6
0.056,,,,,549,1822,20,15,2.735
0.067,,0.185,,0.055,550,1822,20,15,2.735
,,,,,551,1822,20,15,2.735
,,,,,711,905,20,57,1.1
,,,,,750,953,20,0,1.824
0.151,,,,,782,1781,20,23,12.1
0.079,,0.23800000000000002,,0.128,783,1781,20,23,12.1
,,,,,784,1781,20,23,12.1
,,,,,853,1302,20,56,1.6
,,,,,918,875,20,0,1.832
0.136,,,,,935,1815,20,15,4.2
0.075,,0.139,,0.064,936,1815,20,15,4.2
,,,,,937,1815,20,15,4.2
0.021,,,,,1061,1728,20,15,2.2
0.012,,0.026000000000000002,,0.016,1062,1728,20,15,2.2
,,,,,1063,1728,20,15,2.2
,,,,,1078,1397,20,56,1.6
0.054,,,,,1092,1845,20,33,2.2
0.028,,0.053,,0.026000000000000002,1093,1845,20,33,2.2
,,,,,1094,1845,20,33,2.2
,,,,,1103,1202,20,56,1.6
,,,,,1167,1633,20,15,4.3
0.019,,,,,1168,1896,20,33,3.9
0.053,,0.133,,0.07200000000000001,1169,1896,20,33,3.9
,,,,,1170,1896,20,33,3.9
,,,,,1184,1480,20,31,3.117
0.078,,0.092,0.055,0.074,1199,1798,20,33,4.2
0.05,,0.106,,0.054,1200,1798,20,33,4.2
,0.066,,0.053000000000000005,0.049,1201,1798,20,33,4.2
,,,,,1206,1513,20,31,1.232
,,,,,1274,1532,20,31,1.1
,,,,,1283,1532,20,31,1.1
,,,,,1288,1538,20,31,1.1
,,,,,1289,1538,20,31,1.1
,,,,,1295,1582,20,56,1.6
,,,,,1303,1537,20,56,1.6
,,,,,1305,1523,20,56,1.6
,,,,,1306,1898,20,17,4.4
,,,,,1307,1258,20,56,3.0
,,,,,1308,1531,20,15,3.518
,,,,,1309,1217,20,57,3.0
,,,,,1310,1472,20,56,3.0
,,,,,1311,1446,20,56,3.3
,,,,,1312,1458,20,56,3.0
,,,,,1313,1743,20,15,3.27
,,,,,1314,1031,20,57,1.618
,,,,,1315,1009,20,57,2.18
,,,,,1317,1051,20,56,1.6
,,,,,1318,1014,20,57,1.816
,,,,,1322,704,20,2,3.945
,,,,,1323,843,20,57,1.8
,,,,,1327,1370,20,31,2.7
,,,,,1328,1086,20,56,2.5
,,,,,1333,1623,20,15,4.1
,,,,,1334,1709,20,17,4.5
,,,,,1337,1054,20,57,4.4
,,,,,1338,1506,20,56,1.6
,,,,,1341,926,20,57,1.6
,,,,,1352,755,20,49,4.6
,,,,,1361,1514,20,56,1.7
,,,,,1384,1105,20,56,4.8
,,,,,1386,1559,20,56,1.7
,,,,,1392,1590,20,56,4.7
,0.10200000000000001,0.069,0.035,0.056,1394,1585,20,15,2.3
,,,,,1395,1585,20,15,2.3
,0.08600000000000001,,0.0375,0.033,1396,1585,20,15,2.3
,,,,,1401,878,20,57,1.517
,,,,,1411,1550,20,56,1.7
,,,,,1412,1407,20,31,2.5
,,,,,1413,1575,20,15,3.9
,,,,,1416,1401,20,31,2.5
,,,,,1417,903,20,57,1.145
,,,,,1429,1020,20,56,1.6
,,,,,1435,1632,20,56,1.7
,,,,,1441,877,20,56,1.6
,,,,,1444,962,20,57,1.8
,,,,,1446,1030,20,56,1.517
,,,,,1447,943,20,56,1.8
,,,,,1450,1514,20,31,3.8
,,,,,1451,1746,20,15,3.8
,,,,,1455,1354,20,15,3.4
,,,,,1462,1041,20,57,1.8
,,,,,1464,1682,20,56,2.2
,,,,,1465,1691,20,56,2.2
,,,,,1466,986,20,56,1.5
,,,,,1468,1701,20,31,2.5
,,,,,1470,1641,20,31,2.5
,,,,,1472,1180,20,56,1.8
,,,,,1475,1512,20,15,2.6
,,,,,1476,1058,20,56,1.0
,,,,,1480,1592,20,56,3.3
,,,,,1481,1519,20,15,3.8
,,,,,1482,2259,20,15,5.1
,,,,,1484,1034,20,56,1.2
,,,,,1485,1954,20,15,5.7
,,,,,1487,1419,20,31,1.8
,,,,,1488,1123,20,56,1.5
,,,,,1489,2204,20,15,5.1
,,,,,1491,1573,20,31,2.5
,,,,,1493,1122,20,56,1.0
,,,,,1494,1537,20,31,1.8
,,,,,1495,1890,20,15,3.2
,,,,,1496,1994,20,15,5.7
,,,,,1498,1805,20,15,2.3
,,,,,1501,1914,20,15,1.8
,,,,,1502,1401,20,31,1.8
,,,,,1503,1930,20,15,5.9
,,,,,1507,1024,20,56,2.7
,,,,,1508,715,20,57,1.7
,,,,,1509,1940,20,15,6.6
,,,,,1511,619,20,49,1.1
,,,,,1512,950,20,56,1.7
,,,,,1513,1349,20,15,1.8
,,,,,1514,943,20,56,1.7
,,,,,1519,590,20,49,1.1
,,,,,1521,955,20,56,1.0
,,,,,1522,1028,20,57,2.01
,,,,,1523,1008,20,56,1.4
,,,,,1524,611,20,49,1.7
,,,,,1525,1104,20,56,2.7
,,,,,1526,914,20,56,1.7
,,,,,1529,1045,20,57,2.01
,,,,,1530,1089,20,56,1.8
,,,,,1531,601,20,49,1.7
,,,,,1532,1134,20,15,1.7
,,,,,1533,1051,20,56,1.7
,,,,,1534,818,20,57,1.5
,,,,,1536,1039,20,57,1.0
,,,,,1539,619,20,49,1.5
,,,,,1541,1208,20,57,1.4
,,,,,1547,778,20,49,1.5
,,,,,1548,969,20,57,1.3
,,,,,1549,1317,20,56,2.0
,,,,,1553,1172,20,57,1.311
,,,,,1557,1316,20,57,1.513
,,,,,1563,993,20,57,1.3
,,,,,1566,1316,20,57,1.315
,,,,,1568,1120,20,57,1.2
,,,,,1576,970,20,57,1.1
,,,,,1582,1130,20,56,1.512
,,,,,1583,1345,20,57,1.3
,,,,,1591,1011,20,57,1.8
,,,,,1592,1193,20,57,1.2
,,,,,1599,1356,20,57,1.5
,,,,,1604,1062,20,57,1.3
,,,,,1619,1149,20,56,4.2
,,,,,1635,1426,20,57,1.3
,,,,,1642,1143,20,57,1.2
,,,,,1644,1308,20,56,1.9
,,,,,1650,1370,20,57,1.112
,,,,,1653,1664,20,31,2.1
,,,,,1654,1257,20,57,1.711
,,,,,1656,1294,20,57,3.1
,,,,,1660,1127,20,57,2.1
,,,,,1661,1322,20,57,1.7
,,,,,1662,1011,20,49,2.2
,,,,,1672,1253,20,57,3.9
,,,,,1673,1255,20,31,2.6
,,,,,1677,1383,20,57,4.1
,,,,,1691,1312,20,57,1.7
,,,,,1720,1327,20,57,1.9
,,,,,1735,1499,20,56,1.1
,,,,,1736,1359,20,57,2.649
,,,,,1737,1554,20,15,6.0
,,,,,1738,1550,20,56,1.2
,,,,,1739,1445,20,31,3.365
,,,,,1740,1459,20,31,2.6
,,,,,1741,1568,20,56,1.1
,,,,,1742,1572,20,56,1.9
,,,,,1743,1359,20,57,2.1
,,,,,1745,1363,20,57,2.7
,,,,,1749,1451,20,33,1.6
,0.248,0.153,0.101,0.135,1751,1826,7,15,3.5
,,,,,1752,1826,7,15,3.5
,0.152,,0.097,0.089,1753,1826,7,15,3.5
,,,,,1755,1667,7,56,5.1
,,,,,1758,1604,20,57,2.5
,,,,,1759,1556,20,57,3.7
,,,,,1760,1923,7,56,6.1
,,,,,1762,1786,7,56,5.1
,0.114,0.068,0.042,0.058,1768,1910,7,15,3.1
,,,,,1769,1910,7,15,3.1
,0.058,,0.038,0.037,1770,1910,7,15,3.1
,0.003,0.002,0.001,0.002,1771,2008,7,15,3.7
,,,,,1772,2008,7,15,3.7
,0.002,,0.001,0.001,1773,2008,7,15,3.7
,,,,,1774,1929,7,15,3.0
,0.169,0.107,0.059000000000000004,0.082,1776,1783,20,57,4.748
,,,,,1777,1783,20,57,4.748
,0.10400000000000001,,0.0545,0.051000000000000004,1778,1783,20,57,4.748
,,,,,1782,1859,20,57,3.6
,,,,,1785,1806,7,57,2.2
,,,,,1786,1788,7,57,2.2
,0.195,0.152,0.093,0.129,1788,1838,7,57,4.0
,,,,,1789,1838,7,57,4.0
,0.14100000000000001,,0.0875,0.082,1790,1838,7,57,4.0
,,,,,1793,1764,7,57,2.2
,,,,,1798,1710,7,57,2.2
,,,,,1853,1738,7,33,1.0
,0.056,,0.0435,0.038,1888,1254,7,31,4.1
0.0,0.322,0.592,0.386,,1889,1813,9,23,5.0
,0.10200000000000001,0.41000000000000003,,,1890,1813,9,23,5.0
,,,,,1891,1813,9,23,5.0
,0.41000000000000003,,0.18166666666666667,0.139,1892,1813,9,23,5.0
0.0,0.10350000000000001,0.199,0.158,,1893,1799,9,27,8.1
,0.036000000000000004,0.137,,,1894,1799,9,27,8.1
,,,,,1895,1799,9,27,8.1
,0.129,,0.09233333333333334,0.081,1896,1799,9,27,8.1
